MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
200000025,2024-05-31T10:00:00,34.39441,35.26971,11.2,69.3,69,MV SYNTH-025,IMO9490353,KYLQ,80,0,109,14,10.9,Tanker,A
200000026,2024-05-31T10:00:00,34.12787,35.59507,10.5,264.3,264,MV SYNTH-026,IMO9865335,XCPL,80,0,279,39,14.3,Tanker,A
200000027,2024-05-31T10:00:00,33.93082,32.4291,13.0,229.9,229,MV SYNTH-027,IMO9069914,PIXU,70,0,265,32,15.6,Cargo,A
200000028,2024-05-31T10:00:00,34.6084,32.79526,7.3,185.3,185,MV SYNTH-028,IMO9471924,DZER,52,0,322,40,14.4,Tug,A
200000029,2024-05-31T10:00:00,32.10674,33.56174,11.2,235.0,235,MV SYNTH-029,IMO9277800,ZVZG,70,0,172,24,15.6,Cargo,A
200000030,2024-05-31T10:00:00,33.52051,35.91503,10.4,263.4,263,MV SYNTH-030,IMO9195314,IOJT,80,0,108,16,14.9,Tanker,A
200000031,2024-05-31T10:00:00,31.76477,34.35038,21.4,86.2,86,MV SYNTH-031,IMO9192032,LPMN,60,0,161,20,11.8,Passenger,A
200000032,2024-05-31T10:00:00,30.86655,31.20403,10.8,51.4,51,MV SYNTH-032,IMO9334780,DIWY,52,0,310,45,16.4,Tug,A
200000033,2024-05-31T10:00:00,34.21469,33.16893,10.1,245.2,245,MV SYNTH-033,IMO9764200,TRRM,80,0,205,29,11.5,Tanker,A
200000034,2024-05-31T10:00:00,34.33643,33.87878,15.2,228.8,228,MV SYNTH-034,IMO9952752,HKGH,70,0,184,25,10.7,Cargo,A
200000035,2024-05-31T10:00:00,32.5998,35.00761,18.9,230.8,230,MV SYNTH-035,IMO9202511,VCMO,60,0,294,38,8.4,Passenger,A
200000036,2024-05-31T10:00:00,31.63875,32.01359,6.9,102.5,102,MV SYNTH-036,IMO9697099,SGLA,30,0,298,38,9.6,Fishing,A
200000037,2024-05-31T10:00:00,32.25917,31.46683,10.1,109.0,109,MV SYNTH-037,IMO9252612,GSEJ,80,0,127,17,13.2,Tanker,A
200000038,2024-05-31T10:00:00,33.01989,33.81798,9.1,196.6,196,MV SYNTH-038,IMO9904814,YJNJ,30,0,159,22,16.8,Fishing,A
200000039,2024-05-31T10:00:00,31.0485,33.27281,7.9,5.9,5,MV SYNTH-039,IMO9557350,JVEL,52,0,219,34,10.1,Tug,A
412345678,2024-05-31T10:00:00,33.36086,37.52643,12.3,251.8,251,MT SYNTH-SUSPECT,IMO9066172,GMLQ,80,0,124,18,15.6,Tanker,A
200000000,2024-05-31T10:06:00,30.86635,36.20215,11.2,270.2,270,MV SYNTH-000,IMO9256787,FTRX,70,0,253,31,14.9,Cargo,A
200000001,2024-05-31T10:06:00,30.58483,35.63474,18.4,332.4,332,MV SYNTH-001,IMO9485000,JSCP,60,0,99,13,15.2,Passenger,A
200000002,2024-05-31T10:06:00,31.63047,32.45343,12.9,60.2,60,MV SYNTH-002,IMO9122322,EFAD,80,0,194,27,14.4,Tanker,A
200000003,2024-05-31T10:06:00,30.82604,31.35487,10.2,15.0,15,MV SYNTH-003,IMO9317919,IBAH,52,0,159,22,9.1,Tug,A
200000004,2024-05-31T10:06:00,33.15704,30.52719,7.4,118.5,118,MV SYNTH-004,IMO9615411,WFNP,30,0,317,39,6.5,Fishing,A
200000005,2024-05-31T10:06:00,31.38788,31.89385,5.5,82.5,82,MV SYNTH-005,IMO9598517,INKB,30,0,180,22,12.6,Fishing,A
200000006,2024-05-31T10:06:00,31.99932,34.07513,6.4,199.6,199,MV SYNTH-006,IMO9560766,HYFT,30,0,230,31,12.7,Fishing,A
200000007,2024-05-31T10:06:00,33.04692,32.72089,15.2,26.3,26,MV SYNTH-007,IMO9339209,TNBB,70,0,107,14,17.2,Cargo,A
200000008,2024-05-31T10:06:00,32.39171,33.09937,14.8,105.1,105,MV SYNTH-008,IMO9934085,GMZC,70,0,217,33,10.4,Cargo,A
200000009,2024-05-31T10:06:00,34.36288,36.65995,4.9,232.2,232,MV SYNTH-009,IMO9258033,VGOY,30,0,152,23,12.6,Fishing,A
200000010,2024-05-31T10:06:00,34.44899,36.09291,15.4,235.2,235,MV SYNTH-010,IMO9507365,WJAD,70,0,158,19,14.7,Cargo,A
200000011,2024-05-31T10:06:00,32.32937,36.12281,15.9,12.4,12,MV SYNTH-011,IMO9526451,SYNT,60,0,247,38,8.6,Passenger,A
200000012,2024-05-31T10:06:00,31.5763,33.14128,11.7,335.3,335,MV SYNTH-012,IMO9312397,MYJL,80,0,323,51,11.3,Tanker,A
200000013,2024-05-31T10:06:00,31.91303,30.24602,10.4,41.8,41,MV SYNTH-013,IMO9775286,HCEC,80,0,113,18,8.4,Tanker,A
200000014,2024-05-31T10:06:00,32.23754,32.45811,6.5,298.3,298,MV SYNTH-014,IMO9548698,HOYS,52,0,307,44,11.7,Tug,A
200000015,2024-05-31T10:06:00,34.37435,31.79863,12.4,95.3,95,MV SYNTH-015,IMO9235778,NZHZ,70,0,100,13,13.3,Cargo,A
200000016,2024-05-31T10:06:00,31.39497,33.45924,15.5,93.7,93,MV SYNTH-016,IMO9992461,FFKY,60,0,238,30,14.9,Passenger,A
200000017,2024-05-31T10:06:00,31.31428,33.43877,10.1,62.2,62,MV SYNTH-017,IMO9481833,AWSR,52,0,147,18,13.8,Tug,A
200000019,2024-05-31T10:06:00,34.36636,33.68212,18.5,161.0,161,MV SYNTH-019,IMO9951095,IISM,60,0,216,27,8.6,Passenger,A
200000020,2024-05-31T10:06:00,32.42,30.52883,5.7,103.7,103,MV SYNTH-020,IMO9854356,GMXJ,30,0,327,47,6.8,Fishing,A
200000021,2024-05-31T10:06:00,33.23953,36.86891,10.5,256.7,256,MV SYNTH-021,IMO9265217,MCTB,80,0,203,28,17.2,Tanker,A
200000022,2024-05-31T10:06:00,33.07414,31.95392,15.9,47.3,47,MV SYNTH-022,IMO9562201,XAZS,70,0,211,26,13.4,Cargo,A
200000023,2024-05-31T10:06:00,31.63218,34.43573,11.2,328.8,328,MV SYNTH-023,IMO9230631,LNOI,70,0,196,26,12.2,Cargo,A
200000024,2024-05-31T10:06:00,34.24892,32.20033,13.1,130.0,130,MV SYNTH-024,IMO9825180,LGWO,80,0,108,14,17.1,Tanker,A
200000025,2024-05-31T10:06:00,34.40032,35.29069,11.3,71.5,71,MV SYNTH-025,IMO9490353,KYLQ,80,0,109,14,10.9,Tanker,A
200000026,2024-05-31T10:06:00,34.12632,35.57426,9.7,266.5,266,MV SYNTH-026,IMO9865335,XCPL,80,0,279,39,14.3,Tanker,A
200000027,2024-05-31T10:06:00,33.91698,32.40901,12.8,227.2,227,MV SYNTH-027,IMO9069914,PIXU,70,0,265,32,15.6,Cargo,A
200000028,2024-05-31T10:06:00,34.59628,32.79478,7.6,185.6,185,MV SYNTH-028,IMO9471924,DZER,52,0,322,40,14.4,Tug,A
200000029,2024-05-31T10:06:00,32.09535,33.54277,11.4,231.9,231,MV SYNTH-029,IMO9277800,ZVZG,70,0,172,24,15.6,Cargo,A
200000030,2024-05-31T10:06:00,33.51922,35.89478,10.1,266.1,266,MV SYNTH-030,IMO9195314,IOJT,80,0,108,16,14.9,Tanker,A
200000031,2024-05-31T10:06:00,31.76471,34.392,21.2,91.2,91,MV SYNTH-031,IMO9192032,LPMN,60,0,161,20,11.8,Passenger,A
200000033,2024-05-31T10:06:00,34.20663,33.15169,10.2,245.0,245,MV SYNTH-033,IMO9764200,TRRM,80,0,205,29,11.5,Tanker,A
200000034,2024-05-31T10:06:00,34.32273,33.85604,15.0,231.0,231,MV SYNTH-034,IMO9952752,HKGH,70,0,184,25,10.7,Cargo,A
200000035,2024-05-31T10:06:00,32.57856,34.97875,19.2,228.8,228,MV SYNTH-035,IMO9202511,VCMO,60,0,294,38,8.4,Passenger,A
200000036,2024-05-31T10:06:00,31.63604,32.02729,6.9,99.4,99,MV SYNTH-036,IMO9697099,SGLA,30,0,298,38,9.6,Fishing,A
200000037,2024-05-31T10:06:00,32.25244,31.4869,10.2,108.1,108,MV SYNTH-037,IMO9252612,GSEJ,80,0,127,17,13.2,Tanker,A
200000038,2024-05-31T10:06:00,33.00532,33.8146,8.8,191.8,191,MV SYNTH-038,IMO9904814,YJNJ,30,0,159,22,16.8,Fishing,A
200000039,2024-05-31T10:06:00,31.06285,33.27574,8.0,5.5,5,MV SYNTH-039,IMO9557350,JVEL,52,0,219,34,10.1,Tug,A
412345678,2024-05-31T10:06:00,33.35488,37.50296,12.2,250.6,250,MT SYNTH-SUSPECT,IMO9066172,GMLQ,80,0,124,18,15.6,Tanker,A
200000001,2024-05-31T10:12:00,30.61198,35.61988,19.0,332.5,332,MV SYNTH-001,IMO9485000,JSCP,60,0,99,13,15.2,Passenger,A
200000002,2024-05-31T10:12:00,31.63999,32.47491,12.7,60.3,60,MV SYNTH-002,IMO9122322,EFAD,80,0,194,27,14.4,Tanker,A
200000003,2024-05-31T10:12:00,30.84377,31.36011,10.6,15.5,15,MV SYNTH-003,IMO9317919,IBAH,52,0,159,22,9.1,Tug,A
200000004,2024-05-31T10:12:00,33.15203,30.54018,7.3,113.7,113,MV SYNTH-004,IMO9615411,WFNP,30,0,317,39,6.5,Fishing,A
200000005,2024-05-31T10:12:00,31.38938,31.90396,5.5,79.3,79,MV SYNTH-005,IMO9598517,INKB,30,0,180,22,12.6,Fishing,A
200000006,2024-05-31T10:12:00,31.98932,34.07042,6.4,199.1,199,MV SYNTH-006,IMO9560766,HYFT,30,0,230,31,12.7,Fishing,A
200000007,2024-05-31T10:12:00,33.07022,32.736,15.5,26.4,26,MV SYNTH-007,IMO9339209,TNBB,70,0,107,14,17.2,Cargo,A
200000008,2024-05-31T10:12:00,32.38494,33.12464,14.7,109.0,109,MV SYNTH-008,IMO9934085,GMZC,70,0,217,33,10.4,Cargo,A
200000009,2024-05-31T10:12:00,34.35909,36.65181,5.0,231.2,231,MV SYNTH-009,IMO9258033,VGOY,30,0,152,23,12.6,Fishing,A
200000010,2024-05-31T10:12:00,34.43442,36.06578,15.6,235.0,235,MV SYNTH-010,IMO9507365,WJAD,70,0,158,19,14.7,Cargo,A
200000011,2024-05-31T10:12:00,32.35565,36.12961,16.1,14.2,14,MV SYNTH-011,IMO9526451,SYNT,60,0,247,38,8.6,Passenger,A
200000012,2024-05-31T10:12:00,31.59437,33.13137,11.3,338.0,338,MV SYNTH-012,IMO9312397,MYJL,80,0,323,51,11.3,Tanker,A
200000013,2024-05-31T10:12:00,31.92606,30.25807,10.0,37.3,37,MV SYNTH-013,IMO9775286,HCEC,80,0,113,18,8.4,Tanker,A
200000014,2024-05-31T10:12:00,32.24386,32.44667,6.3,298.1,298,MV SYNTH-014,IMO9548698,HOYS,52,0,307,44,11.7,Tug,A
200000015,2024-05-31T10:12:00,34.37265,31.82227,12.3,94.3,94,MV SYNTH-015,IMO9235778,NZHZ,70,0,100,13,13.3,Cargo,A
200000016,2024-05-31T10:12:00,31.39193,33.48813,15.6,95.7,95,MV SYNTH-016,IMO9992461,FFKY,60,0,238,30,14.9,Passenger,A
200000017,2024-05-31T10:12:00,31.32384,33.45582,10.0,61.4,61,MV SYNTH-017,IMO9481833,AWSR,52,0,147,18,13.8,Tug,A
200000019,2024-05-31T10:12:00,34.33731,33.69523,18.5,164.3,164,MV SYNTH-019,IMO9951095,IISM,60,0,216,27,8.6,Passenger,A
200000020,2024-05-31T10:12:00,32.41827,30.54009,5.2,104.9,104,MV SYNTH-020,IMO9854356,GMXJ,30,0,327,47,6.8,Fishing,A
200000021,2024-05-31T10:12:00,33.23659,36.84831,10.9,259.3,259,MV SYNTH-021,IMO9265217,MCTB,80,0,203,28,17.2,Tanker,A
200000022,2024-05-31T10:12:00,33.09178,31.97798,15.4,47.1,47,MV SYNTH-022,IMO9562201,XAZS,70,0,211,26,13.4,Cargo,A
200000023,2024-05-31T10:12:00,31.64945,34.42348,11.2,327.7,327,MV SYNTH-023,IMO9230631,LNOI,70,0,196,26,12.2,Cargo,A
200000024,2024-05-31T10:12:00,34.23346,32.22074,13.6,131.6,131,MV SYNTH-024,IMO9825180,LGWO,80,0,108,14,17.1,Tanker,A
200000025,2024-05-31T10:12:00,34.40692,35.31223,11.7,73.5,73,MV SYNTH-025,IMO9490353,KYLQ,80,0,109,14,10.9,Tanker,A
200000026,2024-05-31T10:12:00,34.12469,35.55505,10.2,263.3,263,MV SYNTH-026,IMO9865335,XCPL,80,0,279,39,14.3,Tanker,A
200000027,2024-05-31T10:12:00,33.90329,32.3905,12.8,229.0,229,MV SYNTH-027,IMO9069914,PIXU,70,0,265,32,15.6,Cargo,A
200000028,2024-05-31T10:12:00,34.5842,32.79317,7.8,183.0,183,MV SYNTH-028,IMO9471924,DZER,52,0,322,40,14.4,Tug,A
200000029,2024-05-31T10:12:00,32.08428,33.52508,11.3,231.8,231,MV SYNTH-029,IMO9277800,ZVZG,70,0,172,24,15.6,Cargo,A
200000030,2024-05-31T10:12:00,33.51793,35.87409,10.1,261.4,261,MV SYNTH-030,IMO9195314,IOJT,80,0,108,16,14.9,Tanker,A
200000031,2024-05-31T10:12:00,31.76453,34.43269,21.5,91.2,91,MV SYNTH-031,IMO9192032,LPMN,60,0,161,20,11.8,Passenger,A
200000033,2024-05-31T10:12:00,34.19826,33.13271,9.8,245.6,245,MV SYNTH-033,IMO9764200,TRRM,80,0,205,29,11.5,Tanker,A
200000034,2024-05-31T10:12:00,34.30586,33.83083,14.9,227.8,227,MV SYNTH-034,IMO9952752,HKGH,70,0,184,25,10.7,Cargo,A
200000035,2024-05-31T10:12:00,32.5582,34.95192,18.6,230.4,230,MV SYNTH-035,IMO9202511,VCMO,60,0,294,38,8.4,Passenger,A
200000036,2024-05-31T10:12:00,31.63475,32.04105,7.4,99.4,99,MV SYNTH-036,IMO9697099,SGLA,30,0,298,38,9.6,Fishing,A
200000037,2024-05-31T10:12:00,32.24866,31.50533,10.1,111.0,111,MV SYNTH-037,IMO9252612,GSEJ,80,0,127,17,13.2,Tanker,A
200000038,2024-05-31T10:12:00,32.99192,33.80992,8.6,192.0,192,MV SYNTH-038,IMO9904814,YJNJ,30,0,159,22,16.8,Fishing,A
200000039,2024-05-31T10:12:00,31.0766,33.27699,8.2,5.7,5,MV SYNTH-039,IMO9557350,JVEL,52,0,219,34,10.1,Tug,A
412345678,2024-05-31T10:12:00,33.34877,37.47928,11.6,252.4,252,MT SYNTH-SUSPECT,IMO9066172,GMLQ,80,0,124,18,15.6,Tanker,A
200000001,2024-05-31T10:18:00,30.64059,35.60419,18.5,332.1,332,MV SYNTH-001,IMO9485000,JSCP,60,0,99,13,15.2,Passenger,A
200000002,2024-05-31T10:18:00,31.65178,32.49947,13.4,60.0,60,MV SYNTH-002,IMO9122322,EFAD,80,0,194,27,14.4,Tanker,A
200000003,2024-05-31T10:18:00,30.85983,31.3644,10.8,10.5,10,MV SYNTH-003,IMO9317919,IBAH,52,0,159,22,9.1,Tug,A
200000004,2024-05-31T10:18:00,33.14622,30.55286,7.4,113.4,113,MV SYNTH-004,IMO9615411,WFNP,30,0,317,39,6.5,Fishing,A
200000005,2024-05-31T10:18:00,31.39067,31.91341,5.2,83.6,83,MV SYNTH-005,IMO9598517,INKB,30,0,180,22,12.6,Fishing,A
200000006,2024-05-31T10:18:00,31.9786,34.06666,6.6,203.4,203,MV SYNTH-006,IMO9560766,HYFT,30,0,230,31,12.7,Fishing,A
200000007,2024-05-31T10:18:00,33.09345,32.74987,15.4,28.9,28,MV SYNTH-007,IMO9339209,TNBB,70,0,107,14,17.2,Cargo,A
200000008,2024-05-31T10:18:00,32.37931,33.15155,14.5,105.8,105,MV SYNTH-008,IMO9934085,GMZC,70,0,217,33,10.4,Cargo,A
200000009,2024-05-31T10:18:00,34.35236,36.64373,5.2,231.9,231,MV SYNTH-009,IMO9258033,VGOY,30,0,152,23,12.6,Fishing,A
200000010,2024-05-31T10:18:00,34.42074,36.03975,15.3,236.6,236,MV SYNTH-010,IMO9507365,WJAD,70,0,158,19,14.7,Cargo,A
200000011,2024-05-31T10:18:00,32.38148,36.13579,15.8,11.9,11,MV SYNTH-011,IMO9526451,SYNT,60,0,247,38,8.6,Passenger,A
200000012,2024-05-31T10:18:00,31.61119,33.12256,11.9,334.3,334,MV SYNTH-012,IMO9312397,MYJL,80,0,323,51,11.3,Tanker,A
200000013,2024-05-31T10:18:00,31.93892,30.27144,9.7,41.1,41,MV SYNTH-013,IMO9775286,HCEC,80,0,113,18,8.4,Tanker,A
200000014,2024-05-31T10:18:00,32.24856,32.43647,6.4,302.8,302,MV SYNTH-014,IMO9548698,HOYS,52,0,307,44,11.7,Tug,A
200000015,2024-05-31T10:18:00,34.37195,31.84716,12.3,93.5,93,MV SYNTH-015,IMO9235778,NZHZ,70,0,100,13,13.3,Cargo,A
200000016,2024-05-31T10:18:00,31.39077,33.51928,15.1,94.6,94,MV SYNTH-016,IMO9992461,FFKY,60,0,238,30,14.9,Passenger,A
200000017,2024-05-31T10:18:00,31.33164,33.47337,10.0,62.2,62,MV SYNTH-017,IMO9481833,AWSR,52,0,147,18,13.8,Tug,A
200000019,2024-05-31T10:18:00,34.30831,33.70737,18.9,162.2,162,MV SYNTH-019,IMO9951095,IISM,60,0,216,27,8.6,Passenger,A
200000020,2024-05-31T10:18:00,32.41496,30.54919,5.3,103.7,103,MV SYNTH-020,IMO9854356,GMXJ,30,0,327,47,6.8,Fishing,A
200000021,2024-05-31T10:18:00,33.23178,36.82755,10.7,257.9,257,MV SYNTH-021,IMO9265217,MCTB,80,0,203,28,17.2,Tanker,A
200000022,2024-05-31T10:18:00,33.10787,32.00273,15.9,51.5,51,MV SYNTH-022,IMO9562201,XAZS,70,0,211,26,13.4,Cargo,A
200000023,2024-05-31T10:18:00,31.66488,34.41378,11.8,329.4,329,MV SYNTH-023,IMO9230631,LNOI,70,0,196,26,12.2,Cargo,A
200000024,2024-05-31T10:18:00,34.22056,32.24132,13.5,131.5,131,MV SYNTH-024,IMO9825180,LGWO,80,0,108,14,17.1,Tanker,A
200000025,2024-05-31T10:18:00,34.4117,35.33427,11.0,74.9,74,MV SYNTH-025,IMO9490353,KYLQ,80,0,109,14,10.9,Tanker,A
200000026,2024-05-31T10:18:00,34.12308,35.53461,10.1,265.2,265,MV SYNTH-026,IMO9865335,XCPL,80,0,279,39,14.3,Tanker,A
200000027,2024-05-31T10:18:00,33.88855,32.36968,13.2,225.5,225,MV SYNTH-027,IMO9069914,PIXU,70,0,265,32,15.6,Cargo,A
200000028,2024-05-31T10:18:00,34.57189,32.79087,7.6,188.2,188,MV SYNTH-028,IMO9471924,DZER,52,0,322,40,14.4,Tug,A
200000029,2024-05-31T10:18:00,32.07137,33.5072,11.9,234.8,234,MV SYNTH-029,IMO9277800,ZVZG,70,0,172,24,15.6,Cargo,A
200000030,2024-05-31T10:18:00,33.51612,35.85504,10.1,266.4,266,MV SYNTH-030,IMO9195314,IOJT,80,0,108,16,14.9,Tanker,A
200000031,2024-05-31T10:18:00,31.7664,34.47418,21.6,87.5,87,MV SYNTH-031,IMO9192032,LPMN,60,0,161,20,11.8,Passenger,A
200000033,2024-05-31T10:18:00,34.18999,33.11517,9.9,245.0,245,MV SYNTH-033,IMO9764200,TRRM,80,0,205,29,11.5,Tanker,A
200000034,2024-05-31T10:18:00,34.2894,33.8099,15.0,231.9,231,MV SYNTH-034,IMO9952752,HKGH,70,0,184,25,10.7,Cargo,A
200000035,2024-05-31T10:18:00,32.53716,34.92348,18.6,226.9,226,MV SYNTH-035,IMO9202511,VCMO,60,0,294,38,8.4,Passenger,A
200000036,2024-05-31T10:18:00,31.63249,32.0539,6.9,99.0,99,MV SYNTH-036,IMO9697099,SGLA,30,0,298,38,9.6,Fishing,A
200000037,2024-05-31T10:18:00,32.24232,31.52434,9.9,107.2,107,MV SYNTH-037,IMO9252612,GSEJ,80,0,127,17,13.2,Tanker,A
200000038,2024-05-31T10:18:00,32.97736,33.80762,8.4,191.6,191,MV SYNTH-038,IMO9904814,YJNJ,30,0,159,22,16.8,Fishing,A
200000039,2024-05-31T10:18:00,31.08953,33.27868,8.3,5.2,5,MV SYNTH-039,IMO9557350,JVEL,52,0,219,34,10.1,Tug,A
412345678,2024-05-31T10:18:00,33.34067,37.45842,11.9,249.3,249,MT SYNTH-SUSPECT,IMO9066172,GMLQ,80,0,124,18,15.6,Tanker,A
200000001,2024-05-31T10:24:00,30.66857,35.58965,18.4,333.4,333,MV SYNTH-001,IMO9485000,JSCP,60,0,99,13,15.2,Passenger,A
200000002,2024-05-31T10:24:00,31.66019,32.52132,12.8,61.4,61,MV SYNTH-002,IMO9122322,EFAD,80,0,194,27,14.4,Tanker,A
200000003,2024-05-31T10:24:00,30.87676,31.36852,10.3,15.2,15,MV SYNTH-003,IMO9317919,IBAH,52,0,159,22,9.1,Tug,A
200000004,2024-05-31T10:24:00,33.14004,30.56568,7.2,113.4,113,MV SYNTH-004,IMO9615411,WFNP,30,0,317,39,6.5,Fishing,A
200000005,2024-05-31T10:24:00,31.39222,31.92358,4.8,81.1,81,MV SYNTH-005,IMO9598517,INKB,30,0,180,22,12.6,Fishing,A
200000006,2024-05-31T10:24:00,31.96824,34.06046,6.8,200.0,200,MV SYNTH-006,IMO9560766,HYFT,30,0,230,31,12.7,Fishing,A
200000007,2024-05-31T10:24:00,33.11582,32.76569,15.0,26.3,26,MV SYNTH-007,IMO9339209,TNBB,70,0,107,14,17.2,Cargo,A
200000008,2024-05-31T10:24:00,32.37215,33.18018,14.6,103.8,103,MV SYNTH-008,IMO9934085,GMZC,70,0,217,33,10.4,Cargo,A
200000009,2024-05-31T10:24:00,34.34748,36.63745,4.9,231.3,231,MV SYNTH-009,IMO9258033,VGOY,30,0,152,23,12.6,Fishing,A
200000010,2024-05-31T10:24:00,34.40585,36.01432,15.6,238.2,238,MV SYNTH-010,IMO9507365,WJAD,70,0,158,19,14.7,Cargo,A
200000011,2024-05-31T10:24:00,32.40778,36.14339,16.1,11.8,11,MV SYNTH-011,IMO9526451,SYNT,60,0,247,38,8.6,Passenger,A
200000012,2024-05-31T10:24:00,31.62876,33.1126,11.2,337.4,337,MV SYNTH-012,IMO9312397,MYJL,80,0,323,51,11.3,Tanker,A
200000013,2024-05-31T10:24:00,31.95165,30.2841,9.8,39.2,39,MV SYNTH-013,IMO9775286,HCEC,80,0,113,18,8.4,Tanker,A
200000014,2024-05-31T10:24:00,32.25422,32.42364,6.2,298.5,298,MV SYNTH-014,IMO9548698,HOYS,52,0,307,44,11.7,Tug,A
200000015,2024-05-31T10:24:00,34.36985,31.87122,12.3,92.3,92,MV SYNTH-015,IMO9235778,NZHZ,70,0,100,13,13.3,Cargo,A
200000016,2024-05-31T10:24:00,31.38867,33.54834,15.1,91.8,91,MV SYNTH-016,IMO9992461,FFKY,60,0,238,30,14.9,Passenger,A
200000017,2024-05-31T10:24:00,31.33995,33.49008,10.2,60.3,60,MV SYNTH-017,IMO9481833,AWSR,52,0,147,18,13.8,Tug,A
200000019,2024-05-31T10:24:00,34.27832,33.71913,18.6,159.2,159,MV SYNTH-019,IMO9951095,IISM,60,0,216,27,8.6,Passenger,A
200000020,2024-05-31T10:24:00,32.41379,30.56005,5.3,104.2,104,MV SYNTH-020,IMO9854356,GMXJ,30,0,327,47,6.8,Fishing,A
200000021,2024-05-31T10:24:00,33.22856,36.80689,10.5,257.0,257,MV SYNTH-021,IMO9265217,MCTB,80,0,203,28,17.2,Tanker,A
200000022,2024-05-31T10:24:00,33.12468,32.02629,15.7,49.0,49,MV SYNTH-022,IMO9562201,XAZS,70,0,211,26,13.4,Cargo,A
